"filename", "language", "C++", "Makefile", "Go", "Docker", "Markdown", "JSON", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder_init\execute\logrus\logger.cpp", "C++", 307, 0, 0, 0, 0, 0, 37, 64, 408
"e:\Projects\VScodeProjects\ocibuilder_init\execute\logrus\logrus.cpp", "C++", 73, 0, 0, 0, 0, 0, 0, 4, 77
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main.cpp", "C++", 19, 0, 0, 0, 0, 0, 28, 4, 51
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\build.cpp", "C++", 247, 0, 0, 0, 0, 0, 90, 19, 356
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\config.cpp", "C++", 15, 0, 0, 0, 0, 0, 36, 4, 55
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\images.cpp", "C++", 15, 0, 0, 0, 0, 0, 21, 4, 40
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\info.cpp", "C++", 11, 0, 0, 0, 0, 0, 19, 2, 32
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\inspect.cpp", "C++", 11, 0, 0, 0, 0, 0, 19, 2, 32
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\login.cpp", "C++", 13, 0, 0, 0, 0, 0, 21, 3, 37
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\logout.cpp", "C++", 13, 0, 0, 0, 0, 0, 21, 3, 37
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\pull.cpp", "C++", 17, 0, 0, 0, 0, 0, 21, 4, 42
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\push.cpp", "C++", 15, 0, 0, 0, 0, 0, 21, 3, 39
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\rmi.cpp", "C++", 11, 0, 0, 0, 0, 0, 19, 2, 32
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\root.cpp", "C++", 46, 0, 0, 0, 0, 0, 21, 10, 77
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\tag.cpp", "C++", 12, 0, 0, 0, 0, 0, 19, 2, 33
"e:\Projects\VScodeProjects\ocibuilder_init\execute\main\version.cpp", "C++", 13, 0, 0, 0, 0, 0, 21, 3, 37
"e:\Projects\VScodeProjects\ocibuilder_init\execute\manifest\manifest.cpp", "C++", 4, 0, 0, 0, 0, 0, 0, 3, 7
"e:\Projects\VScodeProjects\ocibuilder_init\execute\multierror\group.cpp", "C++", 18, 0, 0, 0, 0, 0, 32, 3, 53
"e:\Projects\VScodeProjects\ocibuilder_init\execute\parse\buildkitparser.cpp", "C++", 56, 0, 0, 0, 0, 0, 4, 10, 70
"e:\Projects\VScodeProjects\ocibuilder_init\execute\parse\dockerfileparse.cpp", "C++", 299, 0, 0, 0, 0, 0, 79, 49, 427
