"filename", "language", "C++", "XML", "Batch", "Shell Script", "Diff", "Ruby", "Perl", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx14\is_permutation.hpp", "C++", 39, 0, 0, 0, 0, 0, 0, 32, 10, 81
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx14\mismatch.hpp", "C++", 28, 0, 0, 0, 0, 0, 0, 28, 11, 67
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx17\exclusive_scan.hpp", "C++", 35, 0, 0, 0, 0, 0, 0, 9, 10, 54
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx17\for_each_n.hpp", "C++", 14, 0, 0, 0, 0, 0, 0, 16, 10, 40
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx17\inclusive_scan.hpp", "C++", 40, 0, 0, 0, 0, 0, 0, 9, 13, 62
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx17\reduce.hpp", "C++", 48, 0, 0, 0, 0, 0, 0, 11, 15, 74
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx17\transform_exclusive_scan.hpp", "C++", 30, 0, 0, 0, 0, 0, 0, 9, 9, 48
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx17\transform_inclusive_scan.hpp", "C++", 39, 0, 0, 0, 0, 0, 0, 9, 13, 61
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx17\transform_reduce.hpp", "C++", 37, 0, 0, 0, 0, 0, 0, 9, 11, 57
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\find_backward.hpp", "C++", 77, 0, 0, 0, 0, 0, 0, 6, 14, 97
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\find_not.hpp", "C++", 25, 0, 0, 0, 0, 0, 0, 6, 8, 39
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\gather.hpp", "C++", 36, 0, 0, 0, 0, 0, 0, 70, 21, 127
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\hex.hpp", "C++", 154, 0, 0, 0, 0, 0, 0, 124, 49, 327
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\is_palindrome.hpp", "C++", 63, 0, 0, 0, 0, 0, 0, 65, 14, 142
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\is_partitioned_until.hpp", "C++", 24, 0, 0, 0, 0, 0, 0, 32, 9, 65
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\minmax.hpp", "C++", 18, 0, 0, 0, 0, 0, 0, 21, 10, 49
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\minmax_element.hpp", "C++", 383, 0, 0, 0, 0, 0, 0, 97, 76, 556
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\searching\boyer_moore.hpp", "C++", 162, 0, 0, 0, 0, 0, 0, 67, 45, 274
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\searching\boyer_moore_horspool.hpp", "C++", 117, 0, 0, 0, 0, 0, 0, 55, 32, 204
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\searching\detail\bm_traits.hpp", "C++", 80, 0, 0, 0, 0, 0, 0, 13, 21, 114
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\searching\detail\debugging.hpp", "C++", 13, 0, 0, 0, 0, 0, 0, 11, 7, 31
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\searching\knuth_morris_pratt.hpp", "C++", 161, 0, 0, 0, 0, 0, 0, 60, 44, 265
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\sort_subrange.hpp", "C++", 49, 0, 0, 0, 0, 0, 0, 44, 18, 111
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string.hpp", "C++", 14, 0, 0, 0, 0, 0, 0, 10, 8, 32
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\case_conv.hpp", "C++", 86, 0, 0, 0, 0, 0, 0, 70, 21, 177
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\classification.hpp", "C++", 126, 0, 0, 0, 0, 0, 0, 156, 31, 313
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\compare.hpp", "C++", 87, 0, 0, 0, 0, 0, 0, 83, 30, 200
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\concept.hpp", "C++", 40, 0, 0, 0, 0, 0, 0, 29, 15, 84
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\config.hpp", "C++", 12, 0, 0, 0, 0, 0, 0, 8, 9, 29
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\constants.hpp", "C++", 14, 0, 0, 0, 0, 0, 0, 12, 11, 37
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\case_conv.hpp", "C++", 93, 0, 0, 0, 0, 0, 0, 17, 21, 131
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\classification.hpp", "C++", 228, 0, 0, 0, 0, 0, 0, 70, 58, 356
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\find_format.hpp", "C++", 152, 0, 0, 0, 0, 0, 0, 24, 29, 205
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\find_format_all.hpp", "C++", 199, 0, 0, 0, 0, 0, 0, 35, 42, 276
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\find_format_store.hpp", "C++", 62, 0, 0, 0, 0, 0, 0, 12, 16, 90
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\find_iterator.hpp", "C++", 52, 0, 0, 0, 0, 0, 0, 18, 18, 88
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\finder.hpp", "C++", 438, 0, 0, 0, 0, 0, 0, 93, 109, 640
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\finder_regex.hpp", "C++", 75, 0, 0, 0, 0, 0, 0, 25, 23, 123
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\formatter.hpp", "C++", 73, 0, 0, 0, 0, 0, 0, 21, 26, 120
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\formatter_regex.hpp", "C++", 39, 0, 0, 0, 0, 0, 0, 10, 13, 62
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\predicate.hpp", "C++", 54, 0, 0, 0, 0, 0, 0, 9, 15, 78
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\replace_storage.hpp", "C++", 110, 0, 0, 0, 0, 0, 0, 26, 24, 160
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\sequence.hpp", "C++", 154, 0, 0, 0, 0, 0, 0, 23, 24, 201
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\trim.hpp", "C++", 67, 0, 0, 0, 0, 0, 0, 10, 19, 96
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\detail\util.hpp", "C++", 67, 0, 0, 0, 0, 0, 0, 20, 21, 108
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\erase.hpp", "C++", 442, 0, 0, 0, 0, 0, 0, 344, 59, 845
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\find.hpp", "C++", 123, 0, 0, 0, 0, 0, 0, 180, 32, 335
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\find_format.hpp", "C++", 175, 0, 0, 0, 0, 0, 0, 81, 31, 287
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\find_iterator.hpp", "C++", 218, 0, 0, 0, 0, 0, 0, 118, 53, 389
